X,Y,File
3.33,0.0686388,-avg_lam_0-10_six.txt
3.34,0.06862464,-avg_lam_0-10_six.txt
3.35,0.0686105,-avg_lam_0-10_six.txt
3.36,0.06859638,-avg_lam_0-10_six.txt
3.37,0.06858228,-avg_lam_0-10_six.txt
3.38,0.068568215,-avg_lam_0-10_six.txt
3.39,0.06855416,-avg_lam_0-10_six.txt
3.4,0.06854014,-avg_lam_0-10_six.txt
3.41,0.06852614,-avg_lam_0-10_six.txt
3.42,0.068512164,-avg_lam_0-10_six.txt
3.43,0.06849821,-avg_lam_0-10_six.txt
3.44,0.068484284,-avg_lam_0-10_six.txt
3.45,0.068470374,-avg_lam_0-10_six.txt
3.46,0.06845649,-avg_lam_0-10_six.txt
3.47,0.06844263,-avg_lam_0-10_six.txt
3.48,0.06842879,-avg_lam_0-10_six.txt
3.49,0.06841498,-avg_lam_0-10_six.txt
3.5,0.06840118,-avg_lam_0-10_six.txt
3.51,0.06838741,-avg_lam_0-10_six.txt
3.52,0.068373665,-avg_lam_0-10_six.txt
3.53,0.068359934,-avg_lam_0-10_six.txt
3.54,0.06834623,-avg_lam_0-10_six.txt
3.55,0.06833255,-avg_lam_0-10_six.txt
3.56,0.06831889,-avg_lam_0-10_six.txt
3.57,0.068305254,-avg_lam_0-10_six.txt
3.58,0.06829164,-avg_lam_0-10_six.txt
3.59,0.068278044,-avg_lam_0-10_six.txt
3.6,0.06826448,-avg_lam_0-10_six.txt
3.61,0.068250924,-avg_lam_0-10_six.txt
3.62,0.0682374,-avg_lam_0-10_six.txt
3.63,0.06822389,-avg_lam_0-10_six.txt
3.64,0.06821041,-avg_lam_0-10_six.txt
3.65,0.068196945,-avg_lam_0-10_six.txt
3.66,0.068183504,-avg_lam_0-10_six.txt
3.67,0.068170086,-avg_lam_0-10_six.txt
3.68,0.06815669,-avg_lam_0-10_six.txt
3.69,0.068143316,-avg_lam_0-10_six.txt
3.7,0.06812996,-avg_lam_0-10_six.txt
3.71,0.06811663,-avg_lam_0-10_six.txt
3.72,0.06810331,-avg_lam_0-10_six.txt
3.73,0.06809002,-avg_lam_0-10_six.txt
3.74,0.06807675,-avg_lam_0-10_six.txt
3.75,0.068063505,-avg_lam_0-10_six.txt
3.76,0.06805028,-avg_lam_0-10_six.txt
3.77,0.06803707,-avg_lam_0-10_six.txt
3.78,0.06802388,-avg_lam_0-10_six.txt
3.79,0.06801071,-avg_lam_0-10_six.txt
3.8,0.06799757,-avg_lam_0-10_six.txt
3.81,0.06798444,-avg_lam_0-10_six.txt
3.82,0.067971334,-avg_lam_0-10_six.txt
3.83,0.06795824,-avg_lam_0-10_six.txt
3.84,0.067945175,-avg_lam_0-10_six.txt
3.85,0.06793213,-avg_lam_0-10_six.txt
3.86,0.067919105,-avg_lam_0-10_six.txt
3.87,0.0679061,-avg_lam_0-10_six.txt
3.88,0.06789312,-avg_lam_0-10_six.txt
3.89,0.067880146,-avg_lam_0-10_six.txt
3.9,0.067867205,-avg_lam_0-10_six.txt
3.91,0.06785428,-avg_lam_0-10_six.txt
3.92,0.06784137,-avg_lam_0-10_six.txt
3.93,0.067828484,-avg_lam_0-10_six.txt
3.94,0.06781562,-avg_lam_0-10_six.txt
3.95,0.06780277,-avg_lam_0-10_six.txt
3.96,0.06778994,-avg_lam_0-10_six.txt
3.97,0.067777134,-avg_lam_0-10_six.txt
3.98,0.06776434,-avg_lam_0-10_six.txt
3.99,0.06775158,-avg_lam_0-10_six.txt
4.0,0.06773882,-avg_lam_0-10_six.txt
4.01,0.0677261,-avg_lam_0-10_six.txt
4.02,0.06771339,-avg_lam_0-10_six.txt
4.03,0.06770069,-avg_lam_0-10_six.txt
4.04,0.06768802,-avg_lam_0-10_six.txt
