Rb96	0.2016	10	 s	201.6	0.141		
Sr100	0.2007	13	 s	200.7	0.0111		
Ti56	200	5	 ms	200	0		
Cr62	200	12	 ms	200	0		
As88	0.2	11	 s	200	0		
Eu168	0.2	10	 s	200	0		
Co68	199	30	 ms	199	0		
Ne26	195	2	 ms	195	0.0013		
Se90	0.195	30	 s	195	0		
Te141	0.193	16	 s	193	0		
Nb108	0.192	6	 s	192	0.063		
C17	191	6	 ms	191	0.284		
V58	190	10	 ms	190	0		
Rh119	0.189	6	 s	189	0.034		
Fe68	188	6	 ms	188	0		
Xe145	0.188	4	 s	188	0.05		
Mo111	0.186	9	 s	186	0		
Sb139	0.182	9	 s	182	0.9		
I143	0.182	8	 s	182	0		
Pr158	0.181	14	 s	181	0		
Li*9	178.2	4	 ms	178.2	0.505		
Zn82	0.1779	25	 s	177.9	0.69		
Zr106	0.175	7	 s	175	0		
Ce157	0.175	41	 s	175	0		
Sb140	0.17	7	 s	170	0.382		
Pr160	0.17	14	 s	170	0		
Ba151	0.167	5	 s	167	0		
Fe69	162	7	 ms	162	0		
In133	0.162	2	 s	162	0.9		
La154	0.161	15	 s	161	0		
Ni77	158.4	5	 ms	158.4	0.3		
Br93	0.152	8	 s	152	0.64		
Ru117	0.152	3	 s	152	0.024		
Cs148	0.1511	12	 s	151.1	0.29		
Cd129	0.151	4	 s	151	0.0184		
Zr107	0.15	3	 s	150	0		
P40	149	10	 ms	149	0.158		
Sn138	0.148	12	 s	148	0		
Te142	0.147	8	 s	147	0		
Xe146	0.146	6	 s	146	0.069		
Ba152	0.14	8	 s	140	0		
N20	136	3	 ms	136	0.429		
Pr159	0.134	43	 s	134	0		
Rh120	0.133	5	 s	133	0.072		
Cr63	129	2	 ms	129	0		
Cd130	0.1287	23	 s	128.7	0.03		
Mo112	0.125	5	 s	125	0		
Ni78	122.2	51	 ms	122.2	0		
In134	0.121	6	 s	121	1.07		
Sn139	0.12	49	 s	120	0		
Te143	0.12	8	 s	120	0		
He8	119.4	15	 ms	119.4	0.16		
Rb98	0.115	6	 s	115	0.14408		
Sr101	0.115	1	 s	115	0.0252		
Kr95	0.114	3	 s	114	0.0287		
Cu80	0.1133	64	 s	113.3	0.58		
Co70	113	7	 ms	113	0		
Ba153	0.113	52	 s	113	0		
Pd123	0.111	3	 s	111	0.014		
K52	110	5	 ms	110	0.768		
Ca54	107	14	 ms	107	0		
Y105	0.107	-3	 s	107	0		
Cs149	0.107	6	 s	107	0.25		
Ar50	106	6	 ms	106	0.37		
Ge87	0.1032	35	 s	103.2	0		
Sb141	0.103	29	 s	103	0		
P41	101	5	 ms	101	0.3		
Cl47	101	6	 ms	101	0		
La155	0.101	28	 s	101	0		
S44	100	1	 ms	100	0.18		
Zn83	0.0997	30	 s	99.7	0		
Ru118	0.099	3	 s	99	0		
Ce158	0.099	93	 s	99	0		
Ti57	98	5	 ms	98	0		
O23	97	8	 ms	97	0.07		
In135	0.097	5	 s	97	0		
Sc55	96	2	 ms	96	0.17		
Ga84	0.0952	25	 s	95.2	0.492		
Si38	95	10	 ms	95	0.28		
Al36	94	37	 ms	94	0		
Si37	94	62	 ms	94	0.17		
I144	0.094	8	 s	94	0		
I146	0.094	26	 s	94	0		
Te144	0.093	60	 s	93	0		
C18	92	2	 ms	92	0.22		
V59	92	9	 ms	92	0		
Mn62	92	13	 ms	92	0		
Mn65	91.9	9	 ms	91.9	0.079		
Ga85	0.0919	12	 s	91.9	0.826		
Mn64	90	4	 ms	90	0.027		
Tc114	0.09	20	 s	90	0.013		
I145	0.0897	93	 s	89.7	0		
Mg33	89.4	10	 ms	89.4	0.14		
Ag127	0.0891	9	 s	89.1	0.055		
Xe147	0.089	14	 s	89	0		
Mg32	86	5	 ms	86	0.054		
In136	0.085	2	 s	85	0		
Xe148	0.085	15	 s	85	0		
N21	84.8	67	 ms	84.8	0		
Cd132	0.084	5	 s	84	0.6		
La156	0.084	78	 s	84	0		
Cd131	0.083	15	 s	83	0.035		
Y106	0.082	5	 s	82	0		
Cs150	0.081	3	 s	81	0.2		
Kr96	0.08	7	 s	80	0.037		
Mo113	0.08	2	 s	80	0		
Zr108	0.0785	20	 s	78.5	0		
Tc115	0.078	2	 s	78	0.19		
F25	75	10	 ms	75	0.195		
Nb110	0.075	1	 s	75	0.4		
Cu81	0.0732	68	 s	73.2	0.81		
Rh121	0.073	2	 s	73	0.134		
O24	72	5	 ms	72	0.41		
Sr102	0.072	8	 s	72	0.055		
Br94	0.07	20	 s	70	0.3		
Ru119	0.0692	20	 s	69.2	0.06		
S45	68	2	 ms	68	0.54		
In137	0.065	10	 s	65	0		
Cd133	0.064	8	 s	64	0		
Mn66	63.9	11	 ms	63.9	0.05		
Kr97	0.0621	40	 s	62.1	0.067		
Fe70	61.4	7	 ms	61.4	0		
Ge88	0.0608	61	 s	60.8	0		
Cs151	0.059	26	 s	59	0		
Ti58	58	9	 ms	58	0		
Mo114	0.058	2	 s	58	0		
Rb99	0.0578	9	 s	57.8	0.191		
Tc116	0.057	3	 s	57	0.17		
Al34	56.3	6	 ms	56.3	0		
Zr109	0.056	3	 s	56	0		
Nb111	0.054	2	 s	54	0		
Zn84	0.0536	81	 s	53.6	0.73		
Sr103	0.053	10	 s	53	0		
Sr104	0.053	5	 s	53	0		
Sb142	0.053	38	 s	53	0		
Ba154	0.053	48	 s	53	0		
Rh122	0.0523	15	 s	52.3	0.113		
Ag126	0.052	10	 s	52	0		
Ag129	0.052	3	 s	52	0.179		
Co72	51.5	3	ms	51.5	0		
Rb100	0.051	2	 s	51	0.059		
S46	50	8	 ms	50	0		
Na30	49.4	20	 ms	49.4	0.3254		
Ga86	0.0492	20	 s	49.2	1.014		
Pd126	0.0488	8	 s	48.8	0.049		
P42	48.5	15	 ms	48.5	0.5		
V61	48.3	10	 ms	48.3	0		
Si39	47.5	20	 ms	47.5	0.6		
Mn67	47	4	 ms	47	0		
C19	46.2	40	 ms	46.2	0.61		
Mo115	0.0455	20	 s	45.5	0		
Ru120	0.045	2	 s	45	0.06		
Tc117	0.0445	30	 s	44.5	0		
Na29	43.6	10	 ms	43.6	0.25		
Ni79	43	11	 ms	43	0		
Kr98	0.043	4	 s	43	0.07		
Cr64	42.9	10	 ms	42.9	0		
Rh123	0.0422	18	 s	42.2	0.242		
Al33	41.7	2	 ms	41.7	0.085		
Ag130	0.041	5	 s	41	0		
Co73	40.7	13	 ms	40.7	0		
V60	40	15	 ms	40	0		
Sr105	0.039	5	 s	39	0		
Nb112	0.038	2	 s	38	0		
Pd127	0.038	2	 s	38	0.09		
Al35	37.6	14	 ms	37.6	0		
Zr110	0.0375	20	 s	37.5	0		
Kr99	0.037	11	 s	37	0.11		
Rb102	0.037	5	 s	37	0.18		
P43	36.5	15	 ms	36.5	0.95		
Pd128	0.036	5	 s	36	0.1		
Mn68	35.2	20	 ms	35.2	0.15		
Fe71	35	7	 ms	35	0		
Ag131	0.035	8	 s	35	0		
V62	33.5	20	 ms	33.5	0		
Y107	0.0335	30	 s	33.5	0		
Si40	33	1	 ms	33	0.59		
Cu82	0.0323	9	 s	32.3	0		
Na28	32.2	18	 ms	32.2	0.0084		
Nb113	0.032	4	 s	32	0		
Mo116	0.032	4	 s	32	0		
Al32	31.9	8	 ms	31.9	0.007		
Rh124	0.0315	23	 s	31.5	0.28		
Co74	31.4	15	 ms	31.4	0		
Sc56	31	5	 ms	31	0		
Rb101	0.031	1	 s	31	0.28		
Pd129	0.031	7	 s	31	0		
K53	30	5	 ms	30	0		
Y108	0.03	5	 s	30	0		
Zr112	0.03	20	 s	30	0		
Tc118	0.03	4	 s	30	0		
Ru121	0.03	3	 s	30	0.13		
Ga87	0.029	4	 s	29	1.014		
Ne27	28.9	11	 ms	28.9	0.02		
Ti59	28.5	25	 ms	28.5	0		
Cr65	28	3	 ms	28	0		
Ag132	0.028	-7	 s	28	0		
Rh125	0.0265	20	 s	26.5	0		
Mn69	25.8	28	 ms	25.8	0.4		
Y109	0.025	5	 s	25	0		
Ru122	0.025	1	 s	25	0		
Ni80	24	9	 ms	24	0		
Zr111	0.024	50	 s	24	0		
Cr66	23	4	 ms	23	0		
Rb103	0.023	4	 s	23	0		
Nb115	0.023	8	 s	23	0		
Ti60	22.2	20	 ms	22.2	0		
Ca55	22	2	 ms	22	0		
Sc57	22	2	 ms	22	0		
Mo117	0.022	5	 s	22	0		
Tc119	0.022	3	 s	22	0		
Tc121	0.022	6	 s	22	0		
Co76	21.7	16	 ms	21.7	0		
Be12	21.47	4	 ms	21.47	0.005		
Tc120	0.021	5	 s	21	0		
Mg34	20	10	 ms	20	0.58		
Si41	20	25	 ms	20	0		
Sr106	0.02	1	 s	20	0		
Rh127	0.02	13	 s	20	0		
Mn70	19.9	17	 ms	19.9	0.5		
V63	19.6	10	 ms	19.6	0		
N22	19.5	20	 ms	19.5	0.58		
Fe72	19	4	 ms	19	0		
Mo118	0.019	3	 s	19	0		
Ru123	0.019	2	 s	19	0		
Rh126	0.019	3	 s	19	0		
Ne28	18.9	5	 ms	18.9	0.194		
P44	18.5	25	 ms	18.5	0		
Na31	17.4	4	 ms	17.4	0.3858		
B13	17.16	18	 ms	17.16	0.00266		
Nb114	0.017	5	 s	17	0		
C20	16.2	35	 ms	16.2	0		
Ti61	15	4	 ms	15	0		
V64	15	2	 ms	15	0		
Ru124	0.015	3	 s	15	0		
N23	14.1	-3	 ms	14.1	0		
Ne29	14	5	 ms	14	0.36		
Na32	13.3	4	 ms	13.3	0.416		
Co77	13	29	 ms	13	0		
Fe73	12.9	16	 ms	12.9	0		
Si42	12.5	35	 ms	12.5	0		
B14	12.36	29	 ms	12.36	0.0604		
Sc58	12	5	 ms	12	0		
Mg35	11.3	6	 ms	11.3	0.52		
Ca56	11	2	 ms	11	0		
Al37	10.7	13	 ms	10.7	0.55		
B15	10.18	35	 ms	10.18	0		
K54	10	5	 ms	10	0		
Li11	8.58	32	 ms	8.58	1.007		
F26	8.2	9	 ms	8.2	0.135		
Al38	8.2	7	 ms	8.2	0.82		
Fe74	8.2	-45	 ms	8.2	0		
Na33	8.1	4	 ms	8.1	0.73		
Mg37	8	4	 ms	8	0		
Al39	7.6	16	 ms	7.6	0.87		
Ne30	7.39	11	 ms	7.39	0.304		
Kr100	0.007	8	 s	7	0		
C22	6.1	2	 ms	6.1	0		
Mg36	5.8	19	 ms	5.8	0.48		
F27	5.7	8	 ms	5.7	0.8		
B17	5.08	5	 ms	5.08	0.975		
Na34	5	9	 ms	5	0		
Be14	4.53	27	 ms	4.53	0.96		
Ne32	3.5	9	 ms	3.5	0		
Ne31	3.4	8	 ms	3.4	0		
B19	2.92	13	 ms	2.92	0		
F29	2.67	21	 ms	2.67	0		
Na35	1.8	5	 ms	1.8	0		
